Variable;Explanation;
HeartDisease;Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI);
BMI;Body Mass Index (BMI);
Smoking;Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes];
AlcoholDrinking;Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week;
Stroke;(Ever told) (you had) a stroke?;
PhysicalHealth;Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? (0-30 days);
MentalHealth;Thinking about your mental health, for how many days during the past 30 days was your mental health not good? (0-30 days);
DiffWalking;Do you have serious difficulty walking or climbing stairs?;
Sex;Are you male or female?;
AgeCategory;Fourteen-level age category;
Race;Imputed race/ethnicity value;
Diabetic;(Ever told) (you had) diabetes?;
PhysicalActivity;Adults who reported doing physical activity or exercise during the past 30 days other than their regular job;
GenHealth;Would you say that in general your health is Good/Very Good/…;
SleepTime;On average, how many hours of sleep do you get in a 24-hour period?;
Asthma;(Ever told) (you had) asthma?;
KidneyDisease;Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?;
SkinCancer;(Ever told) (you had) skin cancer?;
HeartDisease_FamilyHistory;Do you have family history of heart disease? ;
State;US sate (residency) ;